entity,spacy_label,wikidata_id,wikidata_label,wikidata_description,confidence,matched
a week,DATE,Q106206127,A Week Away,2021 film directed by Roman White,0.706,True
every year,DATE,Q138773730,Every Year After,american series,0.769,True
18 months,DATE,Q204494,18 Months,2012 studio album by Calvin Harris,1.0,True
Agentic AI,PERSON,Q137485935,agentic AI browser,,0.714,True
Gen AI,PERSON,,,,0.588,False
Nepal,GPE,Q837,Nepal,country in South Asia,1.0,True
Chatbots,PERSON,Q870780,chatbot,program or set of instructions that simulates conversation with humans,0.933,True
IoT,ORG,Q96708468,IoT,scientific journal,1.0,True
OT,ORG,Q21148371,Ot,given name,1.0,True
Robust AI,ORG,,,,0.367,False
GDPR,ORG,Q66498590,GDPR,1998th strip of the webcomic xkcd,1.0,True
Amazon’s Alexa,ORG,,,,0.441,False
Apple’s Siri,ORG,,,,0.0,False
Tesla,ORG,Q163343,tesla,SI unit of magnetic flux density,1.0,True
AGI,ORG,Q96652129,Agi,male given name,1.0,True
Greece,GPE,Q41,Greece,country in Southeast Europe,1.0,True
1950,DATE,Q18597,1950,year,1.0,True
Alan Turing,PERSON,Q7251,Alan Turing,English computer scientist (1912–1954),1.0,True
Computing Machinery,PERSON,Q41519516,Computing Machinery and Mentality,"scientific article published on June 1, 1997",0.731,True
Intelligence,ORG,Q1665657,Intelligence,peer-reviewed academic journal of psychology,1.0,True
German,NORP,Q188,German,West Germanic language native to Central Europe,1.0,True
WWII,EVENT,Q7957296,WWII,1982 studio album by Waylon Jennings and Willie Nelson,1.0,True
"the ""Turing Test",ORG,,,,0.299,False
1956,DATE,Q5221,1956,year,1.0,True
John McCarthy,PERSON,Q92739,John McCarthy,American computer scientist and cognitive scientist (1927-2011),1.0,True
Dartmouth College,ORG,Q49116,Dartmouth College,"private university in Hanover, New Hampshire, US",1.0,True
McCarthy,PERSON,Q24419041,McCarthy,family name,1.0,True
Later that year,DATE,,,,0.0,False
Allen Newell,PERSON,Q439245,Allen Newell,American cognitive scientist (1927–1992),1.0,True
J.C. Shaw,ORG,,,,0.0,False
Herbert Simon,PERSON,Q110040930,Herbert Simon,born:1898. died:1974,1.0,True
the Logic Theorist,ORG,,,,0.0,False
1967,DATE,Q2648,1967,year,1.0,True
Frank Rosenblatt,PERSON,Q93018,Frank Rosenblatt,American psychologist notable in the field of artificial intelligence,1.0,True
Just a year later,DATE,,,,0.0,False
Marvin Minsky,PERSON,Q204815,Marvin Minsky,American cognitive scientist (1927-2016),1.0,True
Seymour Papert,PERSON,Q335027,Seymour Papert,"MIT mathematician, computer scientist, and educator (1928–2016)",1.0,True
Perceptrons,EVENT,Q4359403,Perceptrons,book authored by Marvin Minsky and Seymour Papert,1.0,True
1980,DATE,Q2439,1980,year,1.0,True
1995,DATE,Q2068,1995,year,1.0,True
Stuart Russell,PERSON,Q7627055,Stuart Russell,British politician (1909-1943),1.0,True
Peter Norvig,PERSON,Q12331673,Peter Norvig,Danish real-estate agent,1.0,True
Artificial Intelligence,ORG,Q11660,artificial intelligence,field of computer science that develops and studies software enabling machines to exhibit intelligent behavior,1.0,True
1997,DATE,Q2088,1997,year,1.0,True
IBM,ORG,Q37156,IBM,American multinational technology corporation,1.0,True
Deep Blue,PRODUCT,Q98117455,Deep blue,2020 studio album by Sora Tob Sakana,1.0,True
Garry Kasparov,PERSON,Q28614,Garry Kasparov,Russian chess grandmaster and activist,1.0,True
2004,DATE,Q2014,2004,year,1.0,True
one day,DATE,Q136716184,One Day,"2024 original song written by Marijn van der Meer, Jorrit Kleijnen and Gordon Groothedde, and performed by Haevn",1.0,True
2011,DATE,Q1994,2011,year,1.0,True
Watson®,PERSON,,,,0.0,False
Ken Jennings,PERSON,Q186,Ken Jennings,"American game show contestant, host, and writer",1.0,True
Brad Rutter,PERSON,Q4954227,Brad Rutter,American game show contestant,1.0,True
2015,DATE,Q2002,2015,year,1.0,True
Baidu,ORG,Q14772,Baidu,Chinese web services company,1.0,True
Minwa,ORG,,,,0.333,False
2016,DATE,Q25245,2016,year,1.0,True
AlphaGo,ORG,Q40415503,AlphaGo,2017 documentary film about AlphaGo,1.0,True
Lee Sodol,PERSON,,,,0.0,False
over 14.5 trillion,MONEY,,,,0.0,False
DeepMind,PRODUCT,Q123397963,DeepMind Fonts,open-source typeface superfamily,0.727,True
ZDNET,PERSON,Q2457578,ZDNET,business technology news website,1.0,True
the 1950s,DATE,Q58254953,THE 1950s,,1.0,True
Turing,ORG,Q104650420,Turing,family name,1.0,True
Microsoft Copilot,ORG,Q116793893,Microsoft Copilot,AI chatbot by Microsoft,1.0,True
Google AI,ORG,Q30688088,Google AI,Google division dedicated to artificial intelligence,1.0,True
Google Search,ORG,Q9366,Google Search,search engine by Google LLC,1.0,True
Claude,PERSON,Q17523984,Claude,unisex given name,1.0,True
Examples of ML,ORG,,,,0.0,False
Siri,GPE,Q1772342,Siri,female given name,1.0,True
ANI,ORG,Q4764403,Ani,female given name,1.0,True
ASI,ORG,Q37073580,Asi,family name,1.0,True
3.5,PRODUCT,Q6116798,3.5,2004 remix album by Safri Duo,1.0,True
Generative Pre-trained,PERSON,Q116777014,generative pre-trained transformer,type of large language model,0.786,True
2020,DATE,Q25337,2020,year,1.0,True
Alphabet,ORG,Q9779,alphabet,standard set of letters present in some written languages,1.0,True
Uber Eats,PERSON,Q21462723,Uber Eats,meal delivery service,1.0,True
San Francisco,GPE,Q62,San Francisco,"consolidated city and county in California, United States",1.0,True
CA,ORG,,,,0.5,False
Phoenix,GPE,Q16556,Phoenix,"seat of Maricopa County, largest city in, and capital of, the State of Arizona, United States",1.0,True
AZ,ORG,,,,0.444,False
Audi,ORG,Q37451905,Audi,family name,1.0,True
GM,ORG,,,,0.667,False
Ford,ORG,Q11247279,Ford,family name,1.0,True
Boston Dynamics,ORG,Q2298325,Boston Dynamics,engineering and robotics design company,1.0,True
Boston Dyanmics',ORG,,,,0.0,False
AlphaFold,ORG,Q60827595,AlphaFold,software by DeepMind,1.0,True
Chatbot Arena,PERSON,,,,0.556,False
GPT-4 Turbo,PERSON,,,,0.0,False
1.78 trillion,MONEY,,,,0.0,False
Amazon Alexa,ORG,Q28022144,Amazon Alexa,virtual assistant service,1.0,True
Perplexity,ORG,Q7169579,Perplexity,1990 video game,1.0,True
Google Translate,ORG,Q135622,Google Translate,multilingual neural machine translation service from Google,1.0,True
Microsoft Translator,ORG,Q21490961,Microsoft Translator,multilingual machine translation cloud service provided by Microsoft,1.0,True
Amazon Translate,ORG,,,,0.0,False
Microsoft 365,ORG,Q775811,Microsoft 365,subscription to a range of office software products from Microsoft,1.0,True
Excel,PRODUCT,Q1383448,Excel,American musical group; crossover thrash band,1.0,True
Teams,ORG,Q1341461,TEAMS,cable system of Kenya,1.0,True
Email,PERSON,Q9158,email,electronic changing digital messages between a network,1.0,True
Clarifai,ORG,Q55607729,Clarifai,company specialized in computer vision,1.0,True
Amazon Rekognition,PERSON,Q74235852,Amazon Rekognition,cloud-based Software as a service computer vision platform,1.0,True
AWS,ORG,,,,0.286,False
OpenAI Codex,ORG,Q108582200,OpenAI Codex,artifical intelligence model geared towards programming,1.0,True
GPT-4 API,PERSON,,,,0.0,False
Amazon Bedrock,ORG,Q124052638,Amazon Bedrock,foundation model hosting service offered by Amazon Web Services,1.0,True
"Alphabet
Google's",ORG,,,,0.0,False
Google Bard,PRODUCT,,,,0.235,False
Bard,ORG,Q111072624,Bard,male given name,1.0,True
Bard for Gemini,ORG,,,,0.0,False
Document AI,ORG,Q105686599,Document AI,Field of technology that employs machine learning,1.0,True
Youtube,GPE,Q866,YouTube,American video-sharing platform owned by Alphabet Inc.,1.0,True
Alphabet's AI,ORG,,,,0.0,False
every day,DATE,Q90728073,Every Day,2019 song by SCH,1.0,True
Nadella,PERSON,Q36984943,Nadella,family name,1.0,True
Copilot,GPE,Q107214994,Copilot,2021 film directed by Anne Zohra Berrached,1.0,True
Microsoft Designer,ORG,Q114618924,Microsoft Designer,graphics software,1.0,True
"Apple
Apple",ORG,,,,0.0,False
Lenovo,ORG,Q14799,Lenovo,Chinese multinational technology company established in 1984,1.0,True
"AI
However",ORG,,,,0.0,False
